beta,#areas,#firing_areas,#firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.1,5.0,1.0,0.0,0.18296529968454261,0.0,0.6182965299684543,5.0,0.7823343848580442,0.7823343848580442
0.1,5.0,2.0,0.0,0.18296529968454261,0.0,0.7602523659305994,4.0,0.7728706624605678,0.7760252365930599
0.1,5.0,3.0,0.0,0.18296529968454261,0.0,0.4668769716088328,4.0,0.7823343848580442,0.7823343848580442
0.1,5.0,4.0,0.0,0.18296529968454261,0.0,0.5520504731861199,4.0,0.7823343848580442,0.7823343848580442
0.1,5.0,1.0,1.0,0.1861198738170347,0.0,0.6529968454258676,4.0,0.7476340694006309,0.7476340694006309
0.1,5.0,2.0,1.0,0.1861198738170347,0.0,0.6498422712933754,3.0,0.7350157728706624,0.7350157728706624
0.1,5.0,3.0,1.0,0.1861198738170347,0.0,0.41324921135646686,4.0,0.7444794952681388,0.7444794952681388
0.1,5.0,4.0,1.0,0.1861198738170347,0.0,0.5205047318611987,6.0,0.7444794952681388,0.7444794952681388
0.1,5.0,1.0,3.0,0.18611987381703468,0.0,0.6498422712933754,4.0,0.7350157728706624,0.7413249211356467
0.1,5.0,2.0,3.0,0.18611987381703468,0.0,0.637223974763407,4.0,0.7318611987381703,0.7318611987381703
0.1,5.0,3.0,3.0,0.18611987381703468,0.0,0.416403785488959,8.0,0.7350157728706624,0.7381703470031545
0.1,5.0,4.0,3.0,0.18611987381703468,0.0,0.4921135646687697,6.0,0.7318611987381703,0.7318611987381703
0.1,5.0,1.0,5.0,0.17823343848580442,0.0031545741324921135,0.6309148264984227,4.0,0.7350157728706624,0.7350157728706624
0.1,5.0,2.0,5.0,0.17823343848580442,0.0031545741324921135,0.6624605678233438,7.0,0.7476340694006309,0.7476340694006309
0.1,5.0,3.0,5.0,0.17823343848580442,0.0031545741324921135,0.4416403785488959,8.0,0.7444794952681388,0.7444794952681388
0.1,5.0,4.0,5.0,0.17823343848580442,0.0031545741324921135,0.5205047318611987,5.0,0.7476340694006309,0.7476340694006309
0.1,6.0,1.0,0.0,0.18170347003154572,0.0,0.6561514195583596,4.0,0.8170347003154574,0.8201892744479495
0.1,6.0,2.0,0.0,0.18170347003154572,0.0,0.7602523659305994,4.0,0.8170347003154574,0.8201892744479495
0.1,6.0,3.0,0.0,0.18170347003154572,0.0,0.7539432176656151,3.0,0.8138801261829653,0.8138801261829653
0.1,6.0,4.0,0.0,0.18170347003154572,0.0,0.4921135646687697,4.0,0.8170347003154574,0.8170347003154574
0.1,6.0,5.0,0.0,0.18170347003154572,0.0,0.6246056782334385,4.0,0.8138801261829653,0.8170347003154574
0.1,6.0,1.0,1.0,0.1804416403785489,0.0,0.6466876971608833,6.0,0.7791798107255521,0.7823343848580442
0.1,6.0,2.0,1.0,0.1804416403785489,0.0,0.7003154574132492,5.0,0.7791798107255521,0.7854889589905363
0.1,6.0,3.0,1.0,0.1804416403785489,0.0,0.38170347003154576,4.0,0.7760252365930599,0.7760252365930599
0.1,6.0,4.0,1.0,0.1804416403785489,0.0,0.45741324921135645,6.0,0.7760252365930599,0.7791798107255521
0.1,6.0,5.0,1.0,0.1804416403785489,0.0,0.61198738170347,5.0,0.7791798107255521,0.7791798107255521
0.1,6.0,1.0,3.0,0.19432176656151418,0.0,0.7129337539432177,4.0,0.7665615141955836,0.7697160883280757
0.1,6.0,2.0,3.0,0.19432176656151418,0.0,0.7350157728706624,3.0,0.7665615141955836,0.7665615141955836
0.1,6.0,3.0,3.0,0.19432176656151418,0.0,0.4952681388012618,4.0,0.7634069400630915,0.7791798107255521
0.1,6.0,4.0,3.0,0.19432176656151418,0.0,0.5110410094637224,5.0,0.7634069400630915,0.7665615141955836
0.1,6.0,5.0,3.0,0.19432176656151418,0.0,0.6529968454258676,3.0,0.7665615141955836,0.7665615141955836
0.1,6.0,1.0,5.0,0.1829652996845426,0.0,0.722397476340694,4.0,0.7917981072555205,0.7917981072555205
0.1,6.0,2.0,5.0,0.1829652996845426,0.0,0.7760252365930599,5.0,0.7917981072555205,0.7917981072555205
0.1,6.0,3.0,5.0,0.1829652996845426,0.0,0.5772870662460567,4.0,0.7917981072555205,0.7917981072555205
0.1,6.0,4.0,5.0,0.1829652996845426,0.0,0.583596214511041,5.0,0.7917981072555205,0.7917981072555205
0.1,6.0,5.0,5.0,0.1829652996845426,0.0,0.7066246056782335,3.0,0.7917981072555205,0.7917981072555205
0.1,7.0,1.0,0.0,0.1708727655099895,0.0,0.7539432176656151,4.0,0.8580441640378549,0.861198738170347
0.1,7.0,2.0,0.0,0.1708727655099895,0.0,0.8422712933753943,4.0,0.8580441640378549,0.861198738170347
0.1,7.0,3.0,0.0,0.1708727655099895,0.0,0.6971608832807571,3.0,0.8643533123028391,0.8643533123028391
0.1,7.0,4.0,0.0,0.1708727655099895,0.0,0.5899053627760252,6.0,0.861198738170347,0.8643533123028391
0.1,7.0,5.0,0.0,0.1708727655099895,0.0,0.7602523659305994,3.0,0.861198738170347,0.861198738170347
0.1,7.0,6.0,0.0,0.1708727655099895,0.0,0.8296529968454258,3.0,0.861198738170347,0.861198738170347
0.1,7.0,1.0,1.0,0.17718191377497372,0.0,0.807570977917981,3.0,0.8927444794952681,0.8927444794952681
0.1,7.0,2.0,1.0,0.17718191377497372,0.0,0.8422712933753943,4.0,0.889589905362776,0.889589905362776
0.1,7.0,3.0,1.0,0.17718191377497372,0.0,0.668769716088328,4.0,0.889589905362776,0.889589905362776
0.1,7.0,4.0,1.0,0.17718191377497372,0.0,0.6876971608832808,3.0,0.889589905362776,0.889589905362776
0.1,7.0,5.0,1.0,0.17718191377497372,0.0,0.722397476340694,3.0,0.889589905362776,0.889589905362776
0.1,7.0,6.0,1.0,0.17718191377497372,0.0,0.8517350157728707,3.0,0.889589905362776,0.889589905362776
0.1,7.0,1.0,3.0,0.17770767613038907,0.0,0.7539432176656151,3.0,0.8485804416403786,0.8485804416403786
0.1,7.0,2.0,3.0,0.17770767613038907,0.0,0.8517350157728707,2.0,0.8517350157728707,0.8517350157728707
0.1,7.0,3.0,3.0,0.17770767613038907,0.0,0.8201892744479495,4.0,0.8485804416403786,0.8517350157728707
0.1,7.0,4.0,3.0,0.17770767613038907,0.0,0.7697160883280757,3.0,0.8517350157728707,0.8517350157728707
0.1,7.0,5.0,3.0,0.17770767613038907,0.0,0.694006309148265,3.0,0.8485804416403786,0.8485804416403786
0.1,7.0,6.0,3.0,0.17770767613038907,0.0,0.8233438485804416,3.0,0.8517350157728707,0.8517350157728707
0.1,7.0,1.0,5.0,0.18769716088328073,0.0,0.807570977917981,3.0,0.8580441640378549,0.8580441640378549
0.1,7.0,2.0,5.0,0.18769716088328073,0.0,0.8454258675078864,3.0,0.8580441640378549,0.8580441640378549
0.1,7.0,3.0,5.0,0.18769716088328073,0.0,0.7602523659305994,3.0,0.8580441640378549,0.8580441640378549
0.1,7.0,4.0,5.0,0.18769716088328073,0.0,0.7287066246056783,3.0,0.8580441640378549,0.8580441640378549
0.1,7.0,5.0,5.0,0.18769716088328073,0.0,0.7791798107255521,3.0,0.8580441640378549,0.8580441640378549
0.1,7.0,6.0,5.0,0.18769716088328073,0.0,0.8422712933753943,4.0,0.8580441640378549,0.861198738170347
0.1,8.0,1.0,0.0,0.1879224876070302,0.0,0.7697160883280757,3.0,0.8485804416403786,0.8485804416403786
0.1,8.0,2.0,0.0,0.1879224876070302,0.0,0.7192429022082019,4.0,0.8485804416403786,0.8485804416403786
0.1,8.0,3.0,0.0,0.1879224876070302,0.0,0.6782334384858044,4.0,0.8454258675078864,0.8454258675078864
0.1,8.0,4.0,0.0,0.1879224876070302,0.0,0.6498422712933754,4.0,0.8454258675078864,0.8454258675078864
0.1,8.0,5.0,0.0,0.1879224876070302,0.0,0.7634069400630915,3.0,0.8485804416403786,0.8485804416403786
0.1,8.0,6.0,0.0,0.1879224876070302,0.0,0.8296529968454258,5.0,0.8454258675078864,0.8485804416403786
0.1,8.0,7.0,0.0,0.1879224876070302,0.0,0.8517350157728707,3.0,0.8454258675078864,0.8517350157728707
0.1,8.0,1.0,1.0,0.17710680486705724,0.0,0.8643533123028391,3.0,0.9085173501577287,0.9085173501577287
0.1,8.0,2.0,1.0,0.17710680486705724,0.0,0.9022082018927445,3.0,0.9085173501577287,0.9085173501577287
0.1,8.0,3.0,1.0,0.17710680486705724,0.0,0.5205047318611987,5.0,0.9053627760252366,0.9085173501577287
0.1,8.0,4.0,1.0,0.17710680486705724,0.0,0.6340694006309149,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,5.0,1.0,0.17710680486705724,0.0,0.7886435331230284,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,6.0,1.0,0.17710680486705724,0.0,0.8738170347003155,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,7.0,1.0,0.17710680486705724,0.0,0.9022082018927445,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,1.0,3.0,0.18521856692203695,0.0,0.7791798107255521,3.0,0.8738170347003155,0.8738170347003155
0.1,8.0,2.0,3.0,0.18521856692203695,0.0,0.8738170347003155,2.0,0.8738170347003155,0.8738170347003155
0.1,8.0,3.0,3.0,0.18521856692203695,0.0,0.668769716088328,4.0,0.8738170347003155,0.8769716088328076
0.1,8.0,4.0,3.0,0.18521856692203695,0.0,0.7066246056782335,4.0,0.8738170347003155,0.8769716088328076
0.1,8.0,5.0,3.0,0.18521856692203695,0.0,0.7981072555205048,3.0,0.8738170347003155,0.8738170347003155
0.1,8.0,6.0,3.0,0.18521856692203695,0.0,0.8675078864353313,3.0,0.8738170347003155,0.8738170347003155
0.1,8.0,7.0,3.0,0.18521856692203695,0.0,0.8643533123028391,3.0,0.8738170347003155,0.8738170347003155
0.1,8.0,1.0,5.0,0.18341595313204145,0.0,0.861198738170347,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,2.0,5.0,0.18341595313204145,0.0,0.9053627760252366,2.0,0.9053627760252366,0.9053627760252366
0.1,8.0,3.0,5.0,0.18341595313204145,0.0,0.9053627760252366,2.0,0.9053627760252366,0.9053627760252366
0.1,8.0,4.0,5.0,0.18341595313204145,0.0,0.7697160883280757,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,5.0,5.0,0.18341595313204145,0.0,0.8580441640378549,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,6.0,5.0,0.18341595313204145,0.0,0.9053627760252366,2.0,0.9053627760252366,0.9053627760252366
0.1,8.0,7.0,5.0,0.18341595313204145,0.0,0.9053627760252366,2.0,0.9053627760252366,0.9053627760252366
0.1,5.0,1.0,0.0,0.19952681388012616,0.0,0.6529968454258676,3.0,0.750788643533123,0.750788643533123
0.1,5.0,2.0,0.0,0.19952681388012616,0.0,0.5962145110410094,4.0,0.7413249211356467,0.7413249211356467
0.1,5.0,3.0,0.0,0.19952681388012616,0.0,0.41009463722397477,5.0,0.7381703470031545,0.7381703470031545
0.1,5.0,4.0,0.0,0.19952681388012616,0.0,0.48580441640378547,4.0,0.7413249211356467,0.7413249211356467
0.1,5.0,1.0,1.0,0.19794952681388012,0.0,0.6498422712933754,4.0,0.7823343848580442,0.7854889589905363
0.1,5.0,2.0,1.0,0.19794952681388012,0.0,0.7570977917981072,3.0,0.7854889589905363,0.7854889589905363
0.1,5.0,3.0,1.0,0.19794952681388012,0.0,0.6498422712933754,3.0,0.7760252365930599,0.7760252365930599
0.1,5.0,4.0,1.0,0.19794952681388012,0.0,0.5583596214511041,6.0,0.7760252365930599,0.7823343848580442
0.1,5.0,1.0,3.0,0.18611987381703468,0.0031545741324921135,0.6246056782334385,3.0,0.7255520504731862,0.7255520504731862
0.1,5.0,2.0,3.0,0.18611987381703468,0.0031545741324921135,0.7413249211356467,2.0,0.7413249211356467,0.7413249211356467
0.1,5.0,3.0,3.0,0.18611987381703468,0.0031545741324921135,0.4637223974763407,5.0,0.7350157728706624,0.7381703470031545
0.1,5.0,4.0,3.0,0.18611987381703468,0.0031545741324921135,0.5331230283911672,3.0,0.7444794952681388,0.7444794952681388
0.1,5.0,1.0,5.0,0.20268138801261829,0.0,0.6750788643533123,3.0,0.7697160883280757,0.7697160883280757
0.1,5.0,2.0,5.0,0.20268138801261829,0.0,0.7444794952681388,3.0,0.7697160883280757,0.7697160883280757
0.1,5.0,3.0,5.0,0.20268138801261829,0.0,0.5236593059936908,3.0,0.7697160883280757,0.7697160883280757
0.1,5.0,4.0,5.0,0.20268138801261829,0.0,0.583596214511041,4.0,0.7697160883280757,0.7697160883280757
0.1,6.0,1.0,0.0,0.1804416403785489,0.0,0.7097791798107256,4.0,0.8170347003154574,0.8170347003154574
0.1,6.0,2.0,0.0,0.1804416403785489,0.0,0.8012618296529969,3.0,0.8170347003154574,0.8170347003154574
0.1,6.0,3.0,0.0,0.1804416403785489,0.0,0.526813880126183,3.0,0.8107255520504731,0.8107255520504731
0.1,6.0,4.0,0.0,0.1804416403785489,0.0,0.583596214511041,4.0,0.8138801261829653,0.8138801261829653
0.1,6.0,5.0,0.0,0.1804416403785489,0.0,0.668769716088328,3.0,0.8107255520504731,0.8107255520504731
0.1,6.0,1.0,1.0,0.17728706624605678,0.0,0.7539432176656151,3.0,0.8170347003154574,0.8170347003154574
0.1,6.0,2.0,1.0,0.17728706624605678,0.0,0.7634069400630915,4.0,0.8201892744479495,0.8296529968454258
0.1,6.0,3.0,1.0,0.17728706624605678,0.0,0.7444794952681388,5.0,0.8264984227129337,0.8296529968454258
0.1,6.0,4.0,1.0,0.17728706624605678,0.0,0.5205047318611987,5.0,0.8170347003154574,0.8264984227129337
0.1,6.0,5.0,1.0,0.17728706624605678,0.0,0.7003154574132492,4.0,0.8201892744479495,0.8264984227129337
0.1,6.0,1.0,3.0,0.1785488958990536,0.0,0.6529968454258676,4.0,0.7570977917981072,0.7602523659305994
0.1,6.0,2.0,3.0,0.1785488958990536,0.0,0.7097791798107256,5.0,0.7539432176656151,0.7602523659305994
0.1,6.0,3.0,3.0,0.1785488958990536,0.0,0.4605678233438486,4.0,0.7539432176656151,0.7539432176656151
0.1,6.0,4.0,3.0,0.1785488958990536,0.0,0.5078864353312302,3.0,0.7602523659305994,0.7602523659305994
0.1,6.0,5.0,3.0,0.1785488958990536,0.0,0.6246056782334385,3.0,0.7602523659305994,0.7602523659305994
0.1,6.0,1.0,5.0,0.18359621451104102,0.0,0.7192429022082019,4.0,0.8264984227129337,0.8264984227129337
0.1,6.0,2.0,5.0,0.18359621451104102,0.0,0.7791798107255521,3.0,0.8296529968454258,0.8296529968454258
0.1,6.0,3.0,5.0,0.18359621451104102,0.0,0.4889589905362776,6.0,0.8296529968454258,0.832807570977918
0.1,6.0,4.0,5.0,0.18359621451104102,0.0,0.5709779179810726,5.0,0.8296529968454258,0.8296529968454258
0.1,6.0,5.0,5.0,0.18359621451104102,0.0,0.7192429022082019,3.0,0.8296529968454258,0.8296529968454258
0.1,7.0,1.0,0.0,0.1982124079915878,0.0,0.7697160883280757,4.0,0.8990536277602523,0.9053627760252366
0.1,7.0,2.0,0.0,0.1982124079915878,0.0,0.8548895899053628,3.0,0.8990536277602523,0.8990536277602523
0.1,7.0,3.0,0.0,0.1982124079915878,0.0,0.8517350157728707,3.0,0.8990536277602523,0.8990536277602523
0.1,7.0,4.0,0.0,0.1982124079915878,0.0,0.7854889589905363,4.0,0.8990536277602523,0.8990536277602523
0.1,7.0,5.0,0.0,0.1982124079915878,0.0,0.8012618296529969,3.0,0.8990536277602523,0.8990536277602523
0.1,7.0,6.0,0.0,0.1982124079915878,0.0,0.8832807570977917,3.0,0.8990536277602523,0.8990536277602523
0.1,7.0,1.0,1.0,0.17718191377497372,0.0,0.7476340694006309,5.0,0.8517350157728707,0.8580441640378549
0.1,7.0,2.0,1.0,0.17718191377497372,0.0,0.8422712933753943,4.0,0.8517350157728707,0.8580441640378549
0.1,7.0,3.0,1.0,0.17718191377497372,0.0,0.8201892744479495,3.0,0.8548895899053628,0.8548895899053628
0.1,7.0,4.0,1.0,0.17718191377497372,0.0,0.5646687697160884,3.0,0.8548895899053628,0.8548895899053628
0.1,7.0,5.0,1.0,0.17718191377497372,0.0,0.7066246056782335,4.0,0.8517350157728707,0.8548895899053628
0.1,7.0,6.0,1.0,0.17718191377497372,0.0,0.8517350157728707,2.0,0.8517350157728707,0.8517350157728707
0.1,7.0,1.0,3.0,0.17665615141955834,0.0,0.750788643533123,6.0,0.8422712933753943,0.8422712933753943
0.1,7.0,2.0,3.0,0.17665615141955834,0.0,0.804416403785489,3.0,0.8359621451104101,0.8359621451104101
0.1,7.0,3.0,3.0,0.17665615141955834,0.0,0.8454258675078864,4.0,0.8422712933753943,0.8454258675078864
0.1,7.0,4.0,3.0,0.17665615141955834,0.0,0.7003154574132492,3.0,0.8359621451104101,0.8359621451104101
0.1,7.0,5.0,3.0,0.17665615141955834,0.0,0.7791798107255521,4.0,0.8422712933753943,0.8422712933753943
0.1,7.0,6.0,3.0,0.17665615141955834,0.0,0.8201892744479495,4.0,0.8422712933753943,0.8422712933753943
0.1,7.0,1.0,5.0,0.18874868559411148,0.0,0.8201892744479495,4.0,0.8927444794952681,0.8958990536277602
0.1,7.0,2.0,5.0,0.18874868559411148,0.0,0.8706624605678234,3.0,0.8927444794952681,0.8927444794952681
0.1,7.0,3.0,5.0,0.18874868559411148,0.0,0.8801261829652997,3.0,0.8927444794952681,0.8927444794952681
0.1,7.0,4.0,5.0,0.18874868559411148,0.0,0.7129337539432177,3.0,0.8927444794952681,0.8927444794952681
0.1,7.0,5.0,5.0,0.18874868559411148,0.0,0.8233438485804416,3.0,0.8927444794952681,0.8927444794952681
0.1,7.0,6.0,5.0,0.18874868559411148,0.0,0.8738170347003155,3.0,0.8927444794952681,0.8927444794952681
0.1,8.0,1.0,0.0,0.18972510139702567,0.0,0.8296529968454258,3.0,0.9116719242902208,0.9116719242902208
0.1,8.0,2.0,0.0,0.18972510139702567,0.0,0.8643533123028391,3.0,0.9116719242902208,0.9116719242902208
0.1,8.0,3.0,0.0,0.18972510139702567,0.0,0.8706624605678234,3.0,0.9148264984227129,0.9148264984227129
0.1,8.0,4.0,0.0,0.18972510139702567,0.0,0.8927444794952681,3.0,0.9116719242902208,0.9116719242902208
0.1,8.0,5.0,0.0,0.18972510139702567,0.0,0.807570977917981,3.0,0.9116719242902208,0.9116719242902208
0.1,8.0,6.0,0.0,0.18972510139702567,0.0,0.886435331230284,3.0,0.9116719242902208,0.9116719242902208
0.1,8.0,7.0,0.0,0.18972510139702567,0.0,0.9022082018927445,3.0,0.9116719242902208,0.9116719242902208
0.1,8.0,1.0,1.0,0.18566922036953581,0.0,0.8485804416403786,4.0,0.9053627760252366,0.9085173501577287
0.1,8.0,2.0,1.0,0.18566922036953581,0.0,0.8801261829652997,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,3.0,1.0,0.18566922036953581,0.0,0.9053627760252366,4.0,0.9053627760252366,0.9085173501577287
0.1,8.0,4.0,1.0,0.18566922036953581,0.0,0.694006309148265,3.0,0.9053627760252366,0.9053627760252366
0.1,8.0,5.0,1.0,0.18566922036953581,0.0,0.8517350157728707,4.0,0.9053627760252366,0.9085173501577287
0.1,8.0,6.0,1.0,0.18566922036953581,0.0,0.8832807570977917,3.0,0.9053627760252366,0.9053627760252366
